Temperature,Formula,ZT
450,Pb1S0.992Cl0.008,0.1516723008612969
500,Pb1S0.992Cl0.008,0.2058983599019368
550,Pb1S0.992Cl0.008,0.2428340815837958
600,Pb1S0.992Cl0.008,0.2688911164862705
650,Pb1S0.992Cl0.008,0.3006512443779915
700,Pb1S0.992Cl0.008,0.3540340596783233
750,Pb1S0.992Cl0.008,0.4344181580768537
800,Pb1S0.992Cl0.008,0.5205195824949796
300,Pb1.002Te0.5Se0.5I0.004,0.1321379485646417
350,Pb1.002Te0.5Se0.5I0.004,0.2342146022668628
400,Pb1.002Te0.5Se0.5I0.004,0.3625780628840063
450,Pb1.002Te0.5Se0.5I0.004,0.5141963292595456
500,Pb1.002Te0.5Se0.5I0.004,0.663620266229334
550,Pb1.002Te0.5Se0.5I0.004,0.7909702808438941
600,Pb1.002Te0.5Se0.5I0.004,0.8915912329558517
400,Pb0.98Na0.02Te1FC,0.2912960477126118
450,Pb0.98Na0.02Te1FC,0.4682991832157199
500,Pb0.98Na0.02Te1FC,0.6582509564362411
550,Pb0.98Na0.02Te1FC,0.8497590638982578
600,Pb0.98Na0.02Te1FC,1.053222192049076
650,Pb0.98Na0.02Te1FC,1.2693530241938378
700,Pb0.98Na0.02Te1FC,1.4746700980242042
750,Pb0.98Na0.02Te1FC,1.6134552580886372
350,Na0.03Pb0.97Te0.85Se0.15,0.200745735628413
400,Na0.03Pb0.97Te0.85Se0.15,0.3791968297351246
450,Na0.03Pb0.97Te0.85Se0.15,0.5785585503122577
500,Na0.03Pb0.97Te0.85Se0.15,0.7872143212638534
550,Na0.03Pb0.97Te0.85Se0.15,0.9871905369470204
600,Na0.03Pb0.97Te0.85Se0.15,1.1593283793889462
650,Na0.03Pb0.97Te0.85Se0.15,1.2941758324250716
700,Na0.03Pb0.97Te0.85Se0.15,1.3974608887229594
750,Na0.03Pb0.97Te0.85Se0.15,1.493665855352448
350,Pb1Se0.7Te0.3,0.3602367279851071
400,Pb1Se0.7Te0.3,0.4945045945782884
450,Pb1Se0.7Te0.3,0.6219835155756896
500,Pb1Se0.7Te0.3,0.7336973640068302
550,Pb1Se0.7Te0.3,0.8231965570886935
600,Pb1Se0.7Te0.3,0.8802240839452684
650,Pb1Se0.7Te0.3,0.8898513870347169
350,Pb0.9995La0.0005Te1,0.4018361081300639
400,Pb0.9995La0.0005Te1,0.482182977410039
450,Pb0.9995La0.0005Te1,0.551214564267807
500,Pb0.9995La0.0005Te1,0.6061762563851603
550,Pb0.9995La0.0005Te1,0.6446813631229987
600,Pb0.9995La0.0005Te1,0.66250321067203
650,Pb0.9995La0.0005Te1,0.6532311076980843
700,Pb0.9995La0.0005Te1,0.6102749360728967
750,Pb0.9995La0.0005Te1,0.5309687772416631
800,Pb0.9995La0.0005Te1,0.4207299694666518
350,In0.005Ag0.0075Sn0.9875Te1,0.0767913668672554
400,In0.005Ag0.0075Sn0.9875Te1,0.0980098659363363
450,In0.005Ag0.0075Sn0.9875Te1,0.1258387944836803
500,In0.005Ag0.0075Sn0.9875Te1,0.1585157864557028
550,In0.005Ag0.0075Sn0.9875Te1,0.1949661131159823
600,In0.005Ag0.0075Sn0.9875Te1,0.2354603101636354
650,In0.005Ag0.0075Sn0.9875Te1,0.2820298510333797
700,In0.005Ag0.0075Sn0.9875Te1,0.3385807660536417
750,In0.005Ag0.0075Sn0.9875Te1,0.4104911033125985
300,Pb1Te0.75Se0.25,0.0425814652871852
350,Pb1Te0.75Se0.25,0.0763561679282603
400,Pb1Te0.75Se0.25,0.1424217827207722
450,Pb1Te0.75Se0.25,0.2459656034054507
500,Pb1Te0.75Se0.25,0.3690613025102778
550,Pb1Te0.75Se0.25,0.484944249313422
600,Pb1Te0.75Se0.25,0.5827882727884667
650,Pb1Te0.75Se0.25,0.6588668353648128
700,Pb1Te0.75Se0.25,0.706977085185684
750,Pb1Te0.75Se0.25,0.7251579167290491
800,Pb1Te0.75Se0.25,0.723890620067925
400,Na0.01Pb0.99Te0.85Se0.15,0.2909088714024198
450,Na0.01Pb0.99Te0.85Se0.15,0.4155463352639274
500,Na0.01Pb0.99Te0.85Se0.15,0.5218587256850737
550,Na0.01Pb0.99Te0.85Se0.15,0.6080494166141949
600,Na0.01Pb0.99Te0.85Se0.15,0.6664057336775139
650,Na0.01Pb0.99Te0.85Se0.15,0.682126799975519
700,Na0.01Pb0.99Te0.85Se0.15,0.6508395573206348
750,Na0.01Pb0.99Te0.85Se0.15,0.5935031631117034
350,Pb1Te1Na0.06,0.0739316637267433
400,Pb1Te1Na0.06,0.207134448902041
450,Pb1Te1Na0.06,0.3618387810817658
500,Pb1Te1Na0.06,0.4630481705845458
550,Pb1Te1Na0.06,0.4913510870713343
600,Pb1Te1Na0.06,0.4668906029982006
650,Pb1Te1Na0.06,0.4152862429569297
700,Pb1Te1Na0.06,0.3603092767925737
350,Pb1Te1In0.14,0.1385399320671365
400,Pb1Te1In0.14,0.1635242540573479
450,Pb1Te1In0.14,0.1963251864336287
500,Pb1Te1In0.14,0.2382174102514462
550,Pb1Te1In0.14,0.2867407509206138
600,Pb1Te1In0.14,0.3363078465009177
650,Pb1Te1In0.14,0.3854645814123566
700,Pb1Te1In0.14,0.4530187470243152
350,Pb1S0.9987Cl0.0013,0.2286006446473373
400,Pb1S0.9987Cl0.0013,0.3197596583178752
450,Pb1S0.9987Cl0.0013,0.4031158733076677
500,Pb1S0.9987Cl0.0013,0.4696626946877389
550,Pb1S0.9987Cl0.0013,0.5188181758788981
600,Pb1S0.9987Cl0.0013,0.554276558138108
650,Pb1S0.9987Cl0.0013,0.5796420354223536
700,Pb1S0.9987Cl0.0013,0.5958156732243526
750,Pb1S0.9987Cl0.0013,0.6004872848608248
800,Pb1S0.9987Cl0.0013,0.5897915337407856
850,Pb1S0.9987Cl0.0013,0.5613061225043248
350,Pb0.98Na0.02Te1LN,0.2074480797866048
400,Pb0.98Na0.02Te1LN,0.3944111272941694
450,Pb0.98Na0.02Te1LN,0.611986569964086
500,Pb0.98Na0.02Te1LN,0.8288351252076533
550,Pb0.98Na0.02Te1LN,1.044664202940889
600,Pb0.98Na0.02Te1LN,1.2638131651648132
650,Pb0.98Na0.02Te1LN,1.4831767808443674
700,Pb0.98Na0.02Te1LN,1.693142134873839
750,Pb0.98Na0.02Te1LN,1.883134764551227
350,Pb0.999In0.001Te0.8Se0.2,0.1023650040248034
400,Pb0.999In0.001Te0.8Se0.2,0.1597848527125374
450,Pb0.999In0.001Te0.8Se0.2,0.2304748050010073
500,Pb0.999In0.001Te0.8Se0.2,0.3136110106033803
550,Pb0.999In0.001Te0.8Se0.2,0.400018626207536
600,Pb0.999In0.001Te0.8Se0.2,0.4756231535782916
